Year,Month,Day,hour,min,sec,height,patm,patmSD
2024,8,19,9,40,0,2,1006.2999999999998,0.0
2024,8,19,10,10,0,2,1006.5333333333333,0.05773502691899211
2024,8,19,10,40,0,2,1006.7000000000002,0.0
2024,8,19,11,10,0,2,1006.9666666666667,0.05773502691893468
2024,8,19,11,40,0,2,1007.1666666666666,0.05773502691893468
2024,8,19,12,10,0,2,1007.1333333333333,0.05773502691899211
2024,8,19,12,40,0,2,1007.4333333333334,0.11547005383795961
2024,8,19,13,10,0,2,1007.7666666666668,0.05773502691891007
2024,8,19,13,40,0,2,1008.0,0.09999999999999432
2024,8,19,14,10,0,2,1008.0666666666666,0.05773502691899211
2024,8,19,14,40,0,2,1007.9666666666667,0.05773502691893468
2024,8,19,15,10,0,2,1008.0,0.10000000000002274
2024,8,19,15,40,0,2,1008.0333333333333,0.05773502691899211
2024,8,19,16,10,0,2,1008.1,0.0
2024,8,19,16,40,0,2,1008.3666666666667,0.15275252316519838
2024,8,19,17,10,0,2,1008.6333333333333,0.1527525231651922
2024,8,19,17,40,0,2,1008.9,0.10000000000005116
2024,8,19,18,10,0,2,1009.3333333333334,0.15275252316516427
2024,8,19,22,10,0,2,1011.3333333333334,0.05773502691899211
2024,8,19,22,40,0,2,1011.4666666666667,0.05773502691893468
2024,8,19,23,10,0,2,1011.6333333333333,0.05773502691899211
2024,8,19,23,40,0,2,1011.8333333333334,0.05773502691899211
2024,8,20,0,10,0,2,1012.1,0.10000000000005116
2024,8,20,0,40,0,2,1012.2999999999998,0.0
2024,8,20,1,10,0,2,1012.4333333333334,0.05773502691899211
2024,8,20,1,40,0,2,1012.5666666666666,0.057735026919024934
2024,8,20,2,10,0,2,1012.7333333333332,0.05773502691891007
2024,8,20,2,40,0,2,1012.7999999999998,0.0
2024,8,20,3,10,0,2,1012.8666666666667,0.057735026919024934
2024,8,20,3,40,0,2,1013.0333333333333,0.057735026918983905
2024,8,20,4,10,0,2,1013.0,0.0
2024,8,20,4,40,0,2,1013.0666666666666,0.057735026919024934
2024,8,20,5,10,0,2,1013.1666666666666,0.05773502691893468
2024,8,20,5,40,0,2,1013.3000000000001,0.0999999999999801
2024,8,20,6,10,0,2,1013.4666666666667,0.05773502691893468
2024,8,20,6,40,0,2,1013.5333333333333,0.05773502691899211
2024,8,20,7,10,0,2,1013.6333333333333,0.05773502691899211
2024,8,20,7,40,0,2,1013.9,0.10000000000005116
2024,8,20,8,10,0,2,1014.1333333333333,0.1527525231651922
2024,8,20,8,40,0,2,1014.3666666666667,0.057735026919024934
2024,8,20,9,10,0,2,1014.5333333333333,0.05773502691899211
2024,8,20,9,40,0,2,1014.5333333333333,0.05773502691893468
2024,8,20,10,10,0,2,1014.5,0.0
2024,8,20,10,35,0,2,1014.5,0.0
